frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
190,26204.0,8,137,641,,,,,,,9,242,513,,,,,,,7,367,612,,,,,,,,,,,,,,,
191,26580.2,8,165,665,,,,,,,8,305,574,,,,,,,7,392,708,,,,,,,,,,,,,,,
192,26630.0,8,169,668,,,,,,,8,312,581,,,,,,,7,395,719,,,,,,,,,,,,,,,
193,26703.3,8,178,674,,,,,,,9,326,598,,,,,,,7,399,741,,,,,,,,,,,,,,,
194,26828.5,8,192,685,,,,,,,9,347,624,,,,,,,7,404,775,,,,,,,,,,,,,,,
195,26872.0,8,197,690,,,,,,,8,354,634,,,,,,,7,406,787,,,,,,,,,,,,,,,
196,26951.4,8,208,698,,,,,,,9,368,653,,,,,,,7,409,810,,,,,,,,,,,,,,,
197,27036.7,8,219,707,,,,,,,8,382,672,,,,,,,6,412,833,,,,,,,,,,,,,,,
198,27079.7,8,225,712,,,,,,,9,389,684,,,,,,,7,413,845,,,,,,,,,,,,,,,
199,27203.4,8,244,728,,,,,,,8,409,717,,,,,,,6,417,881,,,,,,,,,,,,,,,
200,27496.6,8,294,775,,,,,,,8,457,802,,,,,,,6,426,966,,,,,,,,,,,,,,,
201,28040.2,8,312,822,,,,,,,9,476,807,,,,,,,7,488,972,,,,,,,,,,,,,,,
202,28159.6,8,315,836,,,,,,,9,477,804,,,,,,,8,505,967,,,,,,,,,,,,,,,
203,28203.6,8,318,837,,,,,,,8,480,804,,,,,,,8,508,967,,,,,,,,,,,,,,,
204,28287.3,8,326,832,,,,,,,9,489,804,,,,,,,8,513,968,,,,,,,,,,,,,,,
205,28452.6,8,344,824,,,,,,,8,508,807,,,,,,,8,522,973,,,,,,,,,,,,,,,
